fund,date,direction,ticker,cusip,company,shares,% of etf
ARKF,2021-02-05,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,24743,0.2058
ARKF,2021-02-05,Sell,LSPD,53227R106,LIGHTSPEED POS INC,111900,0.2554
ARKG,2021-02-05,Buy,TMO,883556102,THERMO FISHER SCIENTIFIC INC,35713,0.146
ARKG,2021-02-05,Buy,LGVW,543195101,LONGVIEW ACQUISITION CORP,67318,0.0114
ARKG,2021-02-05,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,111700,0.2007
ARKG,2021-02-05,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,62701,0.2621
ARKK,2021-02-05,Buy,U,91332U101,UNITY SOFTWARE INC,764700,0.4018
ARKK,2021-02-05,Buy,NVS,66987V109,NOVARTIS AG,282125,0.0999
ARKK,2021-02-05,Buy,SNAP,83304A106,SNAP INC,2187585,0.4974
ARKK,2021-02-05,Sell,ROKU,77543R102,ROKU INC,59542,0.1015
ARKK,2021-02-05,Sell,SPLK,848637104,SPLUNK INC,98656,0.0662
ARKK,2021-02-05,Sell,PSTG,74624M102,PURE STORAGE INC,239400,0.0253
ARKK,2021-02-05,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,18364,0.0011
ARKK,2021-02-05,Sell,PINS,72352L106,PINTEREST INC,1472171,0.4724
ARKQ,2021-02-05,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,134426,0.1149
ARKQ,2021-02-05,Buy,TER,880770102,TERADYNE INC,49277,0.1818
ARKQ,2021-02-05,Buy,NVDA,67066G104,NVIDIA CORP,18609,0.2977
ARKQ,2021-02-05,Sell,AVAV,008073108,AEROVIRONMENT INC,8344,0.03
ARKW,2021-02-05,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,106200,0.2001
ARKW,2021-02-05,Sell,HUYA,44852D108,HUYA INC,219670,0.076
ARKW,2021-02-05,Sell,API,00851L103,AGORA INC,120800,0.1502
