date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-01,ARKK,TER,TERADYNE INC,Buy,295371,116.5,34410721.5,34410721.5
2021-02-01,ARKW,DKNG,DRAFTKINGS INC,Buy,620300,54.540000915527344,33831162.56790161,33831162.56790161
2021-02-01,ARKW,NVDA,NVIDIA CORP,Buy,64133,522.1300048828125,33485763.603149414,33485763.603149414
2021-02-01,ARKW,ROKU,ROKU INC,Sell,-73244,395.3299865722656,-28955549.536499023,28955549.536499023
2021-02-01,ARKK,PCAR,PACCAR INC,Buy,263029,91.80000305175781,24146063.002700806,24146063.002700806
2021-02-01,ARKK,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-178392,124.54000091552734,-22216939.843322754,22216939.843322754
2021-02-01,ARKK,SQ,SQUARE INC,Sell,-88752,215.80999755859375,-19153568.903320312,19153568.903320312
2021-02-01,ARKW,FSLY,FASTLY INC,Sell,-166618,109.87999725341797,-18307985.382369995,18307985.382369995
2021-02-01,ARKK,PYPL,PAYPAL HOLDINGS INC,Sell,-74931,238.3699951171875,-17861302.104125977,17861302.104125977
2021-02-01,ARKW,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-135094,124.54000091552734,-16824606.88368225,16824606.88368225
2021-02-01,ARKQ,LMT,LOCKHEED MARTIN CORP,Buy,47673,324.8800048828125,15488004.47277832,15488004.47277832
2021-02-01,ARKQ,NVDA,NVIDIA CORP,Buy,28521,522.1300048828125,14891669.869262695,14891669.869262695
2021-02-01,ARKK,FATE,FATE THERAPEUTICS INC,Buy,154509,91.70999908447266,14170020.248542786,14170020.248542786
2021-02-01,ARKK,Z,ZILLOW GROUP INC,Sell,-85043,131.25999450683594,-11162743.712844849,11162743.712844849
2021-02-01,ARKG,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA INC,Sell,-210508,33.22999954223633,-6995180.743637085,6995180.743637085
2021-02-01,ARKW,BEKE,KE HOLDINGS INC,Buy,110900,61.52000045776367,6822568.050765991,6822568.050765991
2021-02-01,ARKK,BEAM,BEAM THERAPEUTICS INC,Buy,58218,99.70999908447266,5804916.726699829,5804916.726699829
2021-02-01,ARKK,SPLK,SPLUNK INC,Sell,-33677,166.1300048828125,-5594760.174438477,5594760.174438477
2021-02-01,ARKQ,SPCE,VIRGIN GALACTIC HOLDINGS INC,Sell,-109300,47.16999816894531,-5155680.799865723,5155680.799865723
2021-02-01,ARKQ,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-35947,124.54000091552734,-4476839.412910461,4476839.412910461
2021-02-01,ARKQ,NNDM,NANO DIMENSION LTD,Sell,-300200,14.149999618530273,-4247829.885482788,4247829.885482788
2021-02-01,ARKQ,MTLS,MATERIALISE NV,Sell,-62000,66.77999877929688,-4140359.9243164062,4140359.9243164062
2021-02-01,ARKW,API,AGORA INC,Sell,-54100,72.08000183105469,-3899528.0990600586,3899528.0990600586
2021-02-01,ARKQ,FLIR,FLIR SYSTEMS INC,Sell,-70604,52.540000915527344,-3709534.2246398926,3709534.2246398926
2021-02-01,ARKK,REGN,REGENERON PHARMACEUTICALS INC,Sell,-5130,512.8200073242188,-2630766.637573242,2630766.637573242
2021-02-01,ARKQ,BYDDY,BYD CO LTD,Sell,-31503,64.33999633789062,-2026902.9046325684,2026902.9046325684
2021-02-01,ARKQ,IRDM,IRIDIUM COMMUNICATIONS INC,Sell,-38767,51.5,-1996500.5,1996500.5
2021-02-01,ARKG,CDXS,CODEXIS INC,Buy,62497,23.5,1468679.5,1468679.5
2021-02-01,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-6132,120.04000091552734,-736085.2856140137,736085.2856140137
2021-02-01,ARKG,RPTX,REPARE THERAPEUTICS INC,Buy,10283,37.65999984741211,387257.7784309387,387257.7784309387
